Wall time,Step,Value
1680866553.5853734,100,0.10449264943599701
1680866624.065653,200,0.11388889700174332
1680866657.5841446,300,0.12291668355464935
1680866725.8826957,400,0.12202535569667816
1680866855.9729662,500,0.20277778804302216
1680866992.1004817,600,0.14448882639408112
1680867083.4087012,700,0.15871454775333405
1680867234.4000916,800,0.26625001430511475
1680867346.4694445,900,0.13750000298023224
1680867410.884226,1000,0.19427083432674408
1680867560.9940104,1100,0.15306414663791656
1680867675.842885,1200,0.03774340823292732
1680867739.9598997,1300,0.17284686863422394
1680867868.6599534,1400,0.2447916567325592
1680868011.1934175,1500,0.16272345185279846
1680868100.3989947,1600,0.03958335518836975
1680868225.8398252,1700,0.30000001192092896
1680868331.3433154,1800,0.30000001192092896
1680868466.6543806,1900,0.28958335518836975
1680868550.4788468,2000,0.25208330154418945
1680868655.0888066,2100,0.22152778506278992
1680868694.1326423,2200,0.3140625059604645
1680868792.8121326,2300,0.203125
1680868821.5482485,2400,0.20201031863689423
1680868952.1143365,2500,0.30000001192092896
1680869041.8749034,2600,0.29479169845581055
1680869096.6170936,2700,0.27135416865348816
1680869182.7422266,2800,0.2239583283662796
1680869223.7188396,2900,0.30000001192092896
1680869348.291657,3000,0.29793816804885864
1680869464.3942738,3100,0.30000001192092896
1680869497.1300368,3200,0.18472221493721008
1680869557.21457,3300,0.30000001192092896
1680869668.995796,3400,0.2800000011920929
1680869762.8694701,3500,0.1991666555404663
1680869955.3189816,3600,0.20250000059604645
1680870070.8332903,3700,0.30000001192092896
1680870206.1158903,3900,0.17052726447582245
1680870381.1578593,4000,0.20902778208255768
1680870466.8679514,4200,0.1528061032295227
1680870549.3308582,4300,0.30000001192092896
1680870591.4599028,4400,0.2723958492279053
1680870701.4982865,4500,0.2734375
1680870845.3023105,4600,0.2395833283662796
1680870898.812186,4700,0.18958333134651184
1680870941.1692584,4800,0.18041236698627472
1680871160.3073277,4900,0.2409471720457077
1680871414.7105098,5200,0.25729167461395264
1680871438.8744497,5300,0.30000001192092896
1680871593.4483159,5400,0.22095026075839996
1680871764.7449033,5500,0.21112555265426636
1680871853.4462578,5600,0.12468855828046799
1680872001.5578773,5700,0.0823979601264
1680872107.7922986,5800,0.3333333432674408
1680872127.7463963,5900,0.20306123793125153
1680872225.1272435,6000,0.21458333730697632
1680872413.8834527,6100,0.11811771243810654
1680872472.907285,6200,0.24166667461395264
1680872632.585264,6300,0.21077269315719604
1680872743.4365494,6400,0.20445016026496887
1680872896.637958,6500,0.16594716906547546
1680873018.9028835,6600,0.2518816888332367
1680873183.3889701,6700,0.15833331644535065
1680873336.6582,6800,0.12399053573608398
1680873465.0626595,6900,0.09034579247236252
1680873556.3342798,7000,0.07916668057441711
1680873650.3566298,7100,0.2028350532054901
1680873855.8009312,7200,0.24548611044883728
1680873910.3476574,7300,0.1666022092103958
1680874020.15455,7400,0.30000001192092896
1680874053.6937346,7500,0.30000001192092896
1680874170.6235027,7600,0.20269758999347687
1680874218.2727888,7700,0.16458335518836975
1680874317.630362,7800,0.2572486996650696
1680874493.9285495,7900,0.1595929116010666
1680874678.265092,8000,0.10041666775941849
1680874745.8700285,8100,0.30000001192092896
1680874779.147662,8200,0.22164948284626007
1680874867.878819,8300,0.30000001192092896
1680874971.065469,8400,0.3008333444595337
1680875042.4420383,8500,0.16979168355464935
1680875124.690631,8600,0.17208977043628693
1680875183.552397,8700,0.14479166269302368
1680875271.5425706,8800,0.30000001192092896
1680875359.3552332,8900,0.24114583432674408
1680875497.5699072,9000,0.17049208283424377
1680875632.446393,9100,0.14647765457630157
1680875718.1890974,9200,0.30000001192092896
1680875831.827006,9300,0.2567010521888733
1680875944.2036457,9400,0.17525772750377655
1680876058.2162797,9500,0.30000001192092896
1680876079.109994,9600,0.42203283309936523
1680876162.426481,9700,0.30000001192092896
1680876282.2690356,9800,0.3270833492279053
1680876421.1963854,9900,0.3332136869430542
1680876517.6254745,10000,0.1258591115474701
1680876625.601314,10100,0.23888888955116272
1680876703.1650083,10200,0.24270834028720856
1680876873.446065,10300,0.26333335041999817
1680876940.1973865,10400,0.11250001192092896
1680877125.497088,10500,0.1999320089817047
1680877200.3145828,10600,0.1725730299949646
1680877275.7658887,10700,0.24878865480422974
1680877346.236945,10800,0.203125
1680877462.9343467,10900,0.19427084922790527
1680877730.7895813,11000,0.2510416805744171
1680877845.8117404,11200,0.30000001192092896
1680877992.5444639,11300,0.3226073980331421
1680878016.4887617,11400,0.33820873498916626
1680878137.1437593,11500,0.23261906206607819
1680878267.3504434,11600,0.165288507938385
1680878389.6545594,11700,0.2134074866771698
1680878653.9184291,11800,0.20389053225517273
1680878769.0983086,11900,0.30000001192092896
1680878867.1847723,12000,0.20032931864261627
1680879000.4458666,12100,0.3177083432674408
1680879072.5240514,12200,0.24374999105930328
1680879229.6459267,12300,0.20551304519176483
1680879372.9644873,12400,0.14301258325576782
1680879472.028432,12500,0.12666723132133484
1680879586.7448916,12600,0.09444444626569748
1680879731.424904,12700,0.10104165971279144
1680879868.839083,12800,0.10989582538604736
1680880091.6205273,12900,0.1718159317970276
1680880212.0779533,13000,0.1407860815525055
1680880259.192652,13100,0.11874999850988388
1680880429.6893318,13200,0.1788015514612198
1680880604.0785308,13300,0.18041236698627472
1680880810.499411,13400,0.21464776992797852
1680880843.0986323,13500,0.08125001192092896
1680880911.5444956,13600,0.30000001192092896
1680881005.396786,13700,0.27786943316459656
1680881048.5182054,13800,0.30000001192092896
1680881244.2782633,13900,0.19777706265449524
1680881336.4304118,14000,0.1161404550075531
1680881623.9445708,14100,0.12615980207920074
1680881693.213754,14200,0.19583335518836975
1680881782.3262012,14300,0.30000001192092896
1680881848.397388,14400,0.20717713236808777
1680881930.0193145,14500,0.30000001192092896
1680882048.4999943,14600,0.1372779756784439
1680882288.1063988,14700,0.1519497036933899
1680882520.8179302,14800,0.0833333358168602
1680882613.7343698,14900,0.12656250596046448
1680882648.6406832,15000,0.10208334028720856
1680882805.0935302,15100,0.19652777910232544
1680882895.0571249,15200,0.18841280043125153
1680883157.7016313,15300,0.17276939749717712
1680883392.2811174,15400,0.13819445669651031
1680883476.5784957,15500,0.17053979635238647
1680883550.3889453,15600,0.25360825657844543
1680883622.3556063,15700,0.13611111044883728
1680883790.5578957,15800,0.19551976025104523
1680883905.7291162,15900,0.11635062843561172
1680884040.2756658,16000,0.17389455437660217
1680884244.8135104,16100,0.07857143133878708
1680884377.287975,16200,0.17916664481163025
1680884486.2589028,16300,0.2370833456516266
1680884554.551234,16400,0.11250001192092896
1680884721.3249903,16500,0.3050687313079834
1680884841.9068153,16600,0.30108460783958435
1680884914.3795636,16700,0.18854165077209473
1680885110.5364814,16800,0.3046875
1680885157.486257,16900,0.38041234016418457
1680885211.7883356,17000,0.1380208283662796
1680885413.222509,17100,0.13766233623027802
1680885551.3795595,17200,0.08753436803817749
1680885727.1587214,17300,0.04574314504861832
1680885869.1441908,17400,0.07499998807907104
1680885947.1628864,17500,0.3374999761581421
1680886092.9025428,17600,0.15050114691257477
1680886132.891747,17700,0.14928147196769714
1680886215.506193,17800,0.08784722536802292
1680886507.360201,17900,0.1787228137254715
1680886618.374266,18000,0.1302083283662796
1680886713.1024575,18100,0.22812500596046448
1680886756.7055998,18200,0.26875001192092896
1680886851.5514367,18300,0.30000001192092896
1680886949.6825666,18400,0.23333333432674408
1680887121.6900442,18500,0.1794619858264923
1680887198.6038165,18600,0.11736112087965012
1680887298.9832456,18700,0.12708333134651184
1680887363.6808295,18800,0.0858161598443985
1680887500.808859,18900,0.157646045088768
1680887599.9579737,19000,0.0729166716337204
1680887654.3110201,19100,0.26875001192092896
1680887708.1431503,19200,0.19583335518836975
1680887784.252626,19300,0.19049809873104095
1680887887.033684,19400,0.1573271006345749
1680887935.411991,19500,0.0963541641831398
1680888027.6042652,19600,0.1970718652009964
1680888076.1821458,19700,0.1432291716337204
1680888281.3370214,19800,0.09025834500789642
1680888315.8826232,19900,0.164654940366745
1680888399.3488116,20000,0.1222744882106781
